"","서적명","sum_sales","순위"
"348",564,0,162
"349",568,0,162
"350",569,0,162
"351",570,0,162
"352",574,0,162
"353",578,0,162
"354",579,0,162
"355",580,0,162
"356",581,0,162
"357",582,0,162
"358",584,294100,150
"359",585,0,162
"360",587,0,162
"361",588,0,162
"362",589,0,162
"363",590,0,162
"364",591,0,162
"365",592,0,162
"366",593,0,162
"367",594,0,162
"368",595,0,162
"369",596,0,162
"370",597,0,162
"371",598,0,162
"372",599,0,162
"373",600,0,162
"374",601,0,162
"375",615,0,162
"376",616,0,162
"377",617,0,162
"378",618,0,162
"379",623,0,162
"380",625,0,162
"381",626,0,162
"382",627,0,162
"383",632,0,162
"384",633,0,162
"385",635,352499675,44
"386",636,0,162
"387",637,0,162
"388",638,0,162
"389",639,0,162
"390",640,0,162
"391",641,0,162
"392",642,0,162
"393",643,0,162
"394",644,0,162
"395",645,0,162
"396",646,0,162
"397",647,0,162
"398",648,221050.8725,153
"399",649,0,162
"400",650,0,162
"401",651,0,162
"402",652,0,162
"403",653,0,162
"404",654,0,162
"405",655,0,162
"406",656,0,162
"407",657,0,162
"408",658,0,162
"409",659,0,162
"410",660,0,162
"411",661,0,162
"412",662,0,162
"413",663,0,162
"414",664,0,162
"415",665,28335175,96
"416",666,0,162
"417",671,1088000,141
"418",676,0,162
"419",677,0,162
"420",682,0,162
"421",683,0,162
"422",684,0,162
"423",689,0,162
"424",690,14359388725,8
"425",691,0,162
"426",692,19494577025,5
"427",693,0,162
"428",694,0,162
"429",695,17883665525,6
"430",697,0,162
"431",698,0,162
"432",699,0,162
"433",701,0,162
"434",702,0,162
"435",703,0,162
"436",704,0,162
"437",705,0,162
"438",706,0,162
"439",707,0,162
"440",708,0,162
"441",709,0,162
"442",710,0,162
"443",711,0,162
"444",712,0,162
"445",713,0,162
"446",714,0,162
"447",715,0,162
"448",716,0,162
"449",717,0,162
"450",718,0,162
"451",719,0,162
"452",720,0,162
"453",721,0,162
"454",722,0,162
"455",723,0,162
"456",724,0,162
"457",725,0,162
"458",726,0,162
"459",727,0,162
"460",729,0,162
"461",730,0,162
"462",731,0,162
"463",732,186062594.5,53
"464",733,0,162
"465",734,125292397000,1
"466",735,181564250,54
"467",736,4116359600,15
"468",737,530400000,36
"469",738,831663800,31
"470",739,0,162
"471",740,0,162
"472",741,31895825,95
"473",742,7643892750,11
"474",743,421166500,39
"475",744,73688402725,3
"476",745,3007685050,23
"477",747,0,162
"478",748,0,162
"479",749,0,162
"480",750,0,162
"481",752,0,162
"482",753,0,162
"483",754,0,162
"484",755,0,162
"485",756,0,162
"486",757,0,162
"487",758,0,162
"488",759,0,162
"489",761,0,162
"490",762,0,162
"491",763,0,162
"492",775,0,162
"493",778,357184875,43
"494",780,1950944650,24
"495",781,231489000,49
"496",786,0,162
"497",787,0,162
"498",788,0,162
"499",791,0,162
"500",792,0,162
"501",793,0,162
"502",812,0,162
"503",834,0,162
"504",835,0,162
"505",838,0,162
"506",839,0,162
"507",840,0,162
"508",841,0,162
"509",842,0,162
"510",843,561000,147
"511",844,0,162
"512",845,0,162
"513",850,0,162
"514",874,0,162
"515",877,0,162
"516",878,0,162
"517",881,0,162
"518",882,0,162
"519",884,0,162
"520",885,0,162
"521",886,0,162
"522",888,3534300,131
"523",889,1087526550,28
"524",891,0,162
"525",892,50097300,83
"526",893,0,162
"527",894,0,162
"528",895,0,162
"529",896,0,162
"530",897,0,162
"531",898,0,162
"532",899,0,162
"533",900,0,162
"534",901,0,162
"535",902,0,162
"536",903,0,162
"537",904,0,162
"538",905,0,162
"539",906,0,162
"540",908,0,162
"541",909,0,162
"542",911,0,162
"543",926,0,162
"544",928,0,162
"545",929,0,162
"546",930,0,162
"547",932,0,162
"548",934,0,162
"549",935,0,162
"550",936,0,162
"551",937,0,162
"552",940,0,162
"553",941,0,162
"554",943,0,162
"555",944,0,162
"556",945,0,162
"557",947,0,162
"558",948,0,162
"559",949,0,162
"560",951,0,162
"561",953,0,162
"562",954,0,162
"563",955,0,162
"564",956,0,162
"565",957,0,162
"566",958,0,162
"567",959,0,162
"568",960,0,162
"569",961,0,162
"570",962,0,162
"571",963,0,162
"572",964,0,162
"573",965,0,162
"574",966,0,162
"575",967,0,162
"576",968,0,162
"577",969,0,162
"578",972,0,162
"579",974,0,162
"580",975,0,162
"581",976,0,162
"582",977,0,162
"583",978,0,162
"584",979,0,162
"585",980,0,162
"586",981,0,162
"587",982,0,162
"588",983,0,162
"589",984,0,162
"590",985,0,162
"591",986,0,162
"592",987,0,162
"593",988,0,162
"594",989,0,162
"595",990,0,162
"596",991,0,162
"597",992,0,162
"598",993,0,162
"599",994,0,162
"600",995,0,162
"601",996,0,162
"602",997,0,162
"603",998,0,162
"604",999,0,162
"605",1000,0,162
"606",1001,0,162
"607",1002,0,162
"608",1003,0,162
"609",1004,0,162
"610",1005,0,162
"611",1006,0,162
"612",1007,0,162
"613",1008,0,162
"614",1009,0,162
"615",1010,0,162
"616",1011,0,162
"617",1012,0,162
"618",1015,0,162
"619",1016,0,162
"620",1017,0,162
"621",1019,0,162
"622",1021,0,162
"623",1023,0,162
"624",1024,0,162
"625",1025,0,162
"626",1027,0,162
"627",1036,0,162
"628",1040,0,162
"629",1041,0,162
"630",1042,0,162
"631",1043,36866834212,4
"632",1046,0,162
"633",1047,0,162
"634",1049,0,162
"635",1051,0,162
"636",1054,4782525,126
"637",1055,0,162
"638",1056,0,162
"639",1057,0,162
"640",1058,0,162
"641",1059,0,162
"642",1060,0,162
"643",1061,0,162
"644",1062,0,162
"645",1063,0,162
"646",1064,0,162
"647",1065,0,162
"648",1076,0,162
"649",1077,0,162
"650",1079,0,162
"651",1080,0,162
"652",1081,0,162
"653",1082,52901875,82
"654",1083,9962425,115
