##Data from database: WDI												
##Last Updated: 05/06/2014												
SeriesName	SeriesCode	Country	CountryCode	2004	2005	2006	2007	2008	2009	2010	2011	2012
GDP per capita (current US$)	NY.GDP.PCAP.CD	Cayman Islands	CYM									
GDP per capita (current US$)	NY.GDP.PCAP.CD	Central African Republic	CAF	326.1973133	340.9078669	365.4970833	413.4814386	474.389479	464.5132313	456.5634087	498.7800669	482.6697266
GDP per capita (current US$)	NY.GDP.PCAP.CD	Chad	TCD	456.7944314	663.7096974	716.638996	807.7815699	938.4718288	813.7560302	909.2999069	1006.319771	1035.257946
GDP per capita (current US$)	NY.GDP.PCAP.CD	Channel Islands	CHI	55842.65838	57209.24916	62263.83121	73577.16661					
GDP per capita (current US$)	NY.GDP.PCAP.CD	Chile	CHL	6223.973768	7614.522058	9371.427857	10383.49089	10672.25349	10120.03883	12684.93232	14512.61129	15452.1736
GDP per capita (current US$)	NY.GDP.PCAP.CD	China	CHN	1490.380056	1731.125235	2069.343631	2651.260121	3413.588661	3749.272424	4433.36122	5447.341422	6091.014352
GDP per capita (current US$)	NY.GDP.PCAP.CD	Colombia	COL	2752.913454	3392.924413	3712.785525	4663.542864	5405.10124	5116.745989	6179.399054	7148.863695	7747.841321
GDP per capita (current US$)	NY.GDP.PCAP.CD	Comoros	COM	619.1105121	644.2731325	653.9537251	734.8228633	816.4782254	803.4861078	795.4784368	871.6920171	830.5196682
GDP per capita (current US$)	NY.GDP.PCAP.CD	Congo, Dem. Rep.	ZAR	124.049698	133.1002707	158.7273182	175.1042702	198.4957712	185.2322376	211.2643588	245.5826551	261.836335
GDP per capita (current US$)	NY.GDP.PCAP.CD	Congo, Rep.	COG	1347.870907	1718.100815	2120.097846	2233.308252	3059.226535	2401.298155	2920.406708	3414.05471	3153.739461
GDP per capita (current US$)	NY.GDP.PCAP.CD	Costa Rica	CRI	4379.391063	4621.364127	5128.400753	5897.527844	6581.307506	6385.542853	7773.185476	8660.830835	9386.304835
