##				Prevalence of smoking		Incidence of tuberculosis	Prevalence of diabetes	Prevalence of HIV					Antiretroviral therapy coverage	Cause of death		
Country	CountryCode	Region	OECD	MaleSmokingPrevPercAdult	FemaleSmokingPrevPercAdult	TuberculosisPer100K	DiabetesPrevPercPop	TotalHIVPrevPercPop1549		WomenHIVPrevPerc15Over	MaleYouthHIVPercPop	FemaleYouthHIVPercPop	AVTherapyCovPerc	CoDCommunicableDiseases	CoDNonCommunicableDiseases	CoDInjuries
##				% of adults	% of adults	"per 100,000 people"	% of population ages 20 to 79	% of population ages 15-49		% Women's share of population ages 15+ living with HIV	% of population ages 15-24	% of population ages 15-24	% of people with advanced HIV infection	% of population	% of population	% of population
Finland	FIN	Europe:North	Y	27	20	6	5.8			29				2	92	6
France	FRA	Europe:West	Y	39	32	8	5.4			31				6	87	7
French Polynesia	PYF	Polynesia				21	22.4									
Gabon	GAB	Africa:Center		19	3	428	10.7	1	4	67	0.4	1.6	63	56	36	8
"Gambia, The"	GMB	Africa:West		32	3	284	2	0.1	1.3	61	0.2	0.5	59	59	32	9
Georgia	GEO	Europe:East		55	3	116	2.5	0.1	0.3	21	0.3	0.1	72	3	94	3
Germany	DEU	Europe:West	Y	35	25	6	8.3			17				5	91	4
Ghana	GHA	Africa:West		14	7	72	3.8	0.7	1.4	58	0.3	0.5	58	51	42	8
Greece	GRC	Europe:South	Y	46	34	5	4.8			23				6	91	4
Greenland	GRL	Europe:North				170										
Grenada	GRD	Caribbean				4	9.4									
Guam	GUM	Micronesia				48	19.5									
Guatemala	GTM	America:Center		20	2	60	10.9	0.1	0.7	38	0.3	0.2	51	34	47	18
Guinea	GIN	Africa:West		23	2	178	4.4	0.2	1.7	60	0.4	0.8	50	61	31	8
Guinea-Bissau	GNB	Africa:West				242	3.8	0.2	3.9	58	0.9	1.7	37	64	28	8
Guyana	GUY	America:South		27	6	109	15.9	0.1	1.3	52	0.5	0.8	93	18	67	16
Haiti	HTI	Caribbean				213	6.7	3.8	2.1	59	0.6	0.9	60	43	48	9
Honduras	HND	America:Center				54	7.7	0.8	0.5	41	0.2	0.2	58	23	61	16
