
    "Top ten most populous countries","y_1990","y_2008","y_2025"
"2","China","1141","1333","1458"
"3","India","849","1140","1398"
"4","United States","250","304","352"
"5","Indonesia","178","228","273"
"6","Brazil","150","192","223"
"7","Pakistan","108","166","226"
"8","Bangladesh","116","160","198"
"9","Nigeria","94","151","208"
"10","Russia","149","143","137"
"11","Japan","124","128","126"
