영화명,개봉일,첫주매출액,첫주관객수,대표국적,제작사,배급사,등급,장르,감독,배우,총관객수,총매출액,등급2
노리개,2013-04-18,1021695000,139863,한국,(주)마운틴픽쳐스,(주)인벤트스톤,청소년관람불가,드라마,최승호,"마동석,이승연,민지현",169064,1229614500,1
로마 위드 러브,2013-04-18,624945290,85428,미국,,(주)나이너스엔터테인먼트,청소년관람불가,코미디,우디 알렌,"알렉 볼드윈,엘렌 페이지,제시 아이젠버그,페넬로페 크루즈,로베르토 베니니,우디 알렌",180708,1324142801,1
송 포 유,2013-04-18,959499000,136961,영국,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마",폴 앤드류 윌리엄스,"테렌스 스탬프,바네사 레드그레이브,젬마 아터튼",217194,1484853000,3
아이언맨 3,2013-04-25,30646058000,3783641,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"액션,어드벤처,SF",쉐인 블랙,"로버트 다우니 주니어,기네스 팰트로우,벤 킹슬리,가이 피어스,레베카 홀,폴 베타니,존 파브로",9001312,70806211000,3
짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,2013-04-25,598077500,91498,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,마스이 소이치,,217320,1430168500,2
전국노래자랑,2013-05-01,3714900500,536980,한국,(주)인앤인픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"코미디,드라마",이종필,"김인권,류현경,김수미,오광록,유연석,이초희,오현경,송해",978413,6687636000,3
고령화 가족,2013-05-09,5047407116,706223,한국,(주)인벤트스톤,씨제이이앤엠 주식회사,15세이상관람가,"드라마,코미디",송해성,"박해일,윤제문,공효진,윤여정,진지희",1141222,8169492153,3
몽타주,2013-05-16,6270305500,872527,한국,(주)미인픽쳐스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,스릴러,정근섭,"엄정화,김상경,송영창,조희봉,정해균,유승목",2095592,15002458500,3
미나문방구,2013-05-16,1706998000,251374,한국,(주)별의별,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"드라마,코미디",정익환,"최강희,봉태규",334323,2247017000,2
위대한 개츠비,2013-05-16,5746430643,774918,미국,,워너브러더스코리아(주),15세이상관람가,"드라마,멜로/로맨스",바즈 루어만,"레오나르도 디카프리오,캐리 뮬리건,토비 맥과이어",1445124,10580582143,3
크루즈 패밀리,2013-05-16,2959028000,412025,미국,,씨제이이앤엠 주식회사,전체관람가,"애니메이션,가족,코미디","커크 드 미코,크리스 샌더스","니콜라스 케이지,라이언 레이놀즈,엠마 스톤,캐서린 키너,클락 듀크,클로리스 리치만",941615,6540060500,2
분노의 질주: 더 맥시멈,2013-05-22,7391766542,991851,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션,저스틴 린,"빈 디젤,드웨인 존슨,폴 워커,미셸 로드리게즈",1790368,13202991042,3
비포 미드나잇,2013-05-22,641935000,88827,미국,,(주)팝엔터테인먼트,청소년관람불가,드라마,리차드 링클레이터,"에단 호크,줄리 델피,샤무스 데이비 피츠패트릭",203335,1484527500,1
스타트렉 다크니스,2013-05-30,6813277000,834215,미국,파라마운트 픽쳐스,씨제이이앤엠 주식회사,12세이상관람가,"액션,SF,어드벤처",J.J. 에이브럼스,"크리스 파인,칼 어번,조 샐다나,안톤 옐친,잭커리 퀸토,베네딕 컴버배치",1605279,12964932000,3
애프터 어스,2013-05-30,3263067667,456927,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),12세이상관람가,"SF,액션,어드벤처",M. 나이트 샤말란,"윌 스미스,제이든 스미스",537920,3831856167,3
무서운 이야기 2,2013-06-05,2590812000,379117,한국,"(주)수필름,(주)데이지엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"미스터리,공포(호러)","김성호,김휘,정범식,민규동","박성웅,이세영,성준,이수혁,백진희,김슬기,정인선,고경표,김지원",495522,3393667500,3
백악관 최후의 날,2013-06-05,964225000,134866,미국,,씨너스엔터테인먼트(주),청소년관람불가,"액션,스릴러",안톤 후쿠아,"제라드 버틀러,모건 프리먼,아론 에크하트,릭 윤",181257,1272025000,1
은밀하게 위대하게,2013-06-05,27207734683,3874357,한국,(주)엠씨엠씨,쇼박스㈜미디어플렉스,15세이상관람가,"액션,코미디,드라마",장철수,"김수현,박기웅,이현우,손현주,박혜숙,김성균,고창석,장광,신정근,홍경인,이채영,박은빈,최우식,이연경",6959083,48700887413,3
맨 오브 스틸,2013-06-13,11828718139,1498139,미국,,워너브러더스코리아(주),12세이상관람가,SF,잭 스나이더,"헨리 카빌,에이미 애덤스,러셀 크로우,케빈 코스트너",2182227,17092964063,3
월드 워 Z,2013-06-20,15622226000,2107923,미국,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,스릴러,SF,액션,어드벤처",마크 포스터,"브래드 피트,미레일 에노스,매튜 폭스",5237519,38554957000,3
더 웹툰: 예고살인,2013-06-27,4656970070,642992,한국,"(주)필마픽쳐스 ,(주)라인필름,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,"공포(호러),스릴러",김용균,"이시영,엄기준",1200772,8532258570,3
화이트 하우스 다운,2013-06-27,3175531500,449080,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,"액션,드라마",롤랜드 에머리히,"채닝 테이텀,제이미 폭스,매기 질렌홀",569453,4015410500,3
감시자들,2013-07-03,15724930776,2174289,한국,영화사 집,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,액션","조의석,김병서","설경구,정우성,한효주,이준호,진경",5506770,39371354179,3
론 레인저,2013-07-04,2340266000,328673,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,"액션,어드벤처",고어 버빈스키,"조니 뎁,어미 하머,헬레나 본햄 카터",387527,2750149500,3
퍼시픽 림,2013-07-11,13558540512,1692669,미국,,워너브러더스코리아(주),12세이상관람가,"액션,SF,어드벤처",길예르모 델 토로,"찰리 허냄,론 펄먼,이드리스 엘바,찰리 데이",2538963,20476314512,3
미스터 고,2013-07-17,6014808000,835315,한국,"(주)덱스터필름,㈜광대무변,(주)컨텐츠아이",쇼박스㈜미디어플렉스,12세이상관람가,"코미디,드라마",김용화,"서교,성동일",1326852,9324028000,3
