영화명,개봉일,첫주매출액,첫주관객수,대표국적,제작사,배급사,등급,장르,감독,배우,총관객수,총매출액,등급2
디스 민즈 워,2012-02-29,3017102000,395918,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,코미디,멜로/로맨스",맥지,"리즈 위더스푼,크리스 파인,톰 하디",873396,6661435000,3
러브픽션,2012-02-29,8784017000,1144371,한국,"(주)삼거리픽쳐스 ,(주)판타지오",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,코미디",전계수,"하정우,공효진,이병준,지진희,유인나,최유화,전수지,장동찬,정동철,최재용,최준용",1726227,13200551500,3
세이프 하우스,2012-02-29,989058000,132675,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",다니엘 에스피노사,"덴젤 워싱턴,라이언 레이놀즈",163729,1223151500,3
액트 오브 밸러: 최정예 특수부대,2012-02-29,839187000,112628,미국,,씨너스엔터테인먼트(주),15세이상관람가,"액션,어드벤처,스릴러","마이크 맥코이,스콧 워","로셀린 산체즈,네스토르 세라노",139541,1036484500,3
존 카터: 바숨 전쟁의 서막,2012-03-08,4402038000,488732,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"SF,액션",앤드류 스탠든,"테일러 키치,린 콜린스,윌렘 데포,사만다 모튼",838126,7229870500,3
화차,2012-03-08,7226701500,950095,한국,(주)영화제작소보임,필라멘트픽쳐스,15세이상관람가,미스터리,변영주,"이선균,김민희,조성하,김별,차수연,임남숙,임순옥,장대윤",2436500,18459969500,3
서약,2012-03-14,1440237000,190514,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,"드라마,멜로/로맨스",마이클 수치,"레이첼 맥아덤즈,채닝 테이텀",239483,1810275500,3
가비,2012-03-15,1574959500,214751,한국,(주)오션필름,(주)시네마서비스,15세이상관람가,"드라마,멜로/로맨스,미스터리",장윤현,"주진모,김소연,박희순,유선,손호승,채현우",270602,1969360500,3
크로니클,2012-03-15,2165408000,287789,미국,,이십세기폭스코리아(주),15세이상관람가,"액션,스릴러",조쉬 트랭크,"데인 드한,알렉스 러셀,마이클 B. 조던,애슐리 힌쇼",384398,2884776000,3
건축학개론,2012-03-22,7158305000,962842,한국,(주)명필름,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"멜로/로맨스,드라마",이용주,"엄태웅,한가인,이제훈,수지,고준희,조정석",4111237,30223590400,3
언터처블: 1%의 우정,2012-03-22,4352439000,584253,프랑스,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"코미디,드라마","올리비에 나카슈,에릭 톨레다노","프랑수아 클뤼제,오마르 시",1720910,12737443000,3
시체가 돌아왔다,2012-03-29,3609328000,481456,한국,(주)씨네이천,씨제이이앤엠 주식회사,15세이상관람가,"범죄,드라마",우선호,"이범수,류승범,김옥빈,정만식,유다인,신정근,고창석,정인기,오정세,배정남,최동헌,김병오,최태환",986923,7360631000,3
타이탄의 분노,2012-03-29,5746329000,654797,미국,,워너브러더스코리아(주),12세이상관람가,"액션,판타지",조나단 리브스만,"샘 워싱턴,리암 니슨,랄프 파인즈,로자문드 파이크,대니 허스튼",893027,7591124500,3
헝거게임: 판엠의 불꽃,2012-04-05,3144612500,425606,미국,라이온스 게이트 필름즈,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,드라마,SF",게리 로스,"제니퍼 로렌스,조쉬 허처슨,리암 헴스워스,엘리자베스 뱅크스",607956,4478418000,3
간기남,2012-04-11,3586663500,472783,한국,"(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스",쇼박스㈜미디어플렉스,청소년관람불가,"코미디,스릴러",김형준,"박희순,박시연,주상욱,김정태,이한위,이광수,박희순,차수연,전승환,차종호",1246185,9356404500,1
배틀쉽,2012-04-11,9761778500,1322147,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"SF,액션",피터 버그,"리암 니슨,테일러 키치,알렉산더 스카르가드,브룩클린 데커,리한나",2241687,16545921500,3
은교,2012-04-25,5466094000,747210,한국,"정지우 필름,㈜렛츠필름",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,멜로/로맨스,정지우,"박해일,김무열,김고은,이후빈,임민경",1346362,9918298444,1
어벤져스,2012-04-26,21346811500,2414681,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,SF",조스 웨던,"로버트 다우니 주니어,스칼렛 요한슨,크리스 헴스워스,크리스 에반스,제레미 레너",7074867,59557853478,3
짱구는 못말려 극장판: 태풍을 부르는 황금스파이 대작전,2012-04-26,717719000,109307,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,마스이 소이치,"야지마 아키코,나라하시 미키,후지와라 케이지",272062,1804032000,2
로렉스,2012-05-03,1591957500,213081,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,"크리스 리노드,카일 발다","대니 드비토,잭 에프런",298780,2153198000,2
백설공주,2012-05-03,2406111000,342458,미국,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"판타지,어드벤처",타셈 싱,"줄리아 로버츠,릴리 콜린스,어미 하머",585473,4097396000,2
코리아,2012-05-03,5679458500,780856,한국,"(주)더타워픽쳐스,씨제이이앤엠 주식회사,(주)웰메이드스타엠",씨제이이앤엠 주식회사,12세이상관람가,드라마,문현성,"하지원,배두나,한예리,최윤영,박철민,김응수,오정세,이종석,박영서,박정학",1872681,13448848500,3
다크 섀도우,2012-05-10,3555057000,476381,미국,,워너브러더스코리아(주),15세이상관람가,"드라마,공포(호러),스릴러,미스터리",팀 버튼,"조니 뎁,미셸 파이퍼,에바 그린",582126,4326459000,3
내 아내의 모든 것,2012-05-17,8337859000,1112656,한국,"(주)수필름,영화사 집",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,멜로/로맨스",민규동,"임수정,이선균,류승룡,이달형,이진희,김도균,김선일,최차원",4598985,34224467500,3
돈의 맛,2012-05-17,5455850111,724687,한국,휠므빠말주식회사,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",청소년관람불가,드라마,임상수,"김강우,백윤식,윤여정,김효진,온주완",1166018,8780178611,1
맨 인 블랙 3,2012-05-24,15609141500,1846007,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"액션,코미디,SF",베리 소넨필드,"윌 스미스,토미 리 존스,조쉬 브롤린,제메인 클레멘트,알렉 볼드윈",3379762,27301520070,3
미확인 동영상 : 절대클릭금지,2012-05-30,2840580000,414076,한국,"(유)에이디사공육,(주)다세포클럽",쇼박스㈜미디어플렉스,15세이상관람가,공포(호러),김태경,"박보영,주원,강별,최대호,전희수,박민영",867386,5939840500,3
스노우 화이트 앤 더 헌츠맨,2012-05-30,3657972000,497434,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"액션,어드벤처,판타지",루퍼트 샌더스,"샤를리즈 테론,크리스틴 스튜어트,크리스 헴스워스",636631,4646250000,3
차형사,2012-05-30,3966231219,539473,한국,(주)영화사홍,씨제이이앤엠 주식회사,15세이상관람가,"코미디,액션",신태라,"강지환,성유리,이수혁,김영광,신민철,손현우,윤봉길,이태형,이한샘,최영민,최진규,한대희",1346754,9752555296,3
마다가스카3 : 이번엔 서커스다!,2012-06-06,5316937500,663346,미국,,씨제이이앤엠 주식회사,전체관람가,"애니메이션,어드벤처,코미디","에릭 다넬,톰 맥그라스,콘래드 베논","벤 스틸러,크리스 록,데이빗 쉼머,제이다 핀켓 스미스,프란시스 맥도먼드",1629892,12521508500,2
프로메테우스,2012-06-06,5512090099,616678,미국,,이십세기폭스코리아(주),청소년관람불가,"SF,스릴러",리들리 스콧,"노미 라파스,마이클 패스벤더,샤를리즈 테론,가이 피어스,이드리스 엘바",971482,8600146099,1
후궁 : 제왕의 첩,2012-06-06,8661175000,1168362,한국,(주)황기성 사단,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"사극,멜로/로맨스",김대승,"조여정,김동욱,김민준,조은지,박지영,이경영,박철민,장지민,전주병,정일원",2636320,19330302500,1
락아웃: 익스트림미션,2012-06-14,2259105000,308773,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"SF,액션,스릴러","제임스 매더스,스테판 St. 레게르","가이 피어스,매기 그레이스,조셉 길건",462176,3373780000,3
사다코 3D : 죽음의 동영상,2012-06-14,981145532,105307,일본,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,공포(호러),하나부사 츠토무,"이시하라 사토미,세토 코지,야마모토 유스케",122382,1128635032,3
미쓰GO,2012-06-21,3238119500,442916,한국,영화사 도로시(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,코미디,범죄",박철관,"고현정,유해진,성동일,이문식,고창석,박신양,김병철,정우식,조석현,한동룡",611685,4441859000,3
아부의 왕,2012-06-21,2491853000,351036,한국,(주)황금주전자,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,정승구,"송새벽,성동일,김성령,고창석,이병준,한채아,이철민,진선규,정승욱,조화영",497880,3511102500,3
어메이징 스파이더맨,2012-06-28,19141061700,2158278,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,액션,마크 웹,"앤드류 가필드,엠마 스톤,마틴 쉰,샐리 필드",4853123,41163951235,3
캐빈 인 더 우즈,2012-06-28,1384983500,185539,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"공포(호러),스릴러",드류 고다드,"크리스 헴스워스,크리스틴 코놀리,안나 허치슨,프란 크랜즈,제시 윌리엄스,리차드 젠킨스",228090,1710273500,1
더 레이븐,2012-07-05,901240500,123046,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러,제임스 맥티그,"존 쿠삭,루크 에반스,앨리스 이브",153581,1125457000,1
모모와 다락방의 수상한 요괴들,2012-07-05,896251500,134677,일본,,타임스토리그룹(주),전체관람가,"애니메이션,드라마",오키우라 히로유키,"미야마 카렌,유카,이선,김준현,양상국,안윤상",300333,1989020000,2
미드나잇 인 파리,2012-07-05,915108597,125074,미국,,(주)나이너스엔터테인먼트,15세이상관람가,"코미디,멜로/로맨스,판타지",우디 알렌,"오웬 윌슨,마리온 꼬띨라르,레이첼 맥아담스,애드리언 브로디",357798,2649505134,3
연가시,2012-07-05,13692380664,1916304,한국,(주)오죤필름,씨제이이앤엠 주식회사,15세이상관람가,"공포(호러),SF",박정우,"김명민,강지원,문정희,김동완,이하늬,강신일,최일화,이행춘,장형원,정경임,최동헌,김상오,최정수",4515833,32175400664,3
나는 공무원이다,2012-07-12,1442171000,203793,한국,마포필름,(주)넥스트엔터테인먼트월드(NEW),전체관람가,"코미디,드라마",구자홍,"윤제문,송하윤,성준,김희정,이충직",217790,1538400500,2
두 개의 달,2012-07-12,2268386026,325473,한국,"(주)고스트픽처스,(주)주피터필름,롯데쇼핑㈜롯데엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,공포(호러),김동빈,"박한별,김지석,박진주,라미란,박원상,정원",426706,2949348748,3
리미트리스,2012-07-12,786592000,109814,미국,,팝엔터테인먼트,15세이상관람가,"미스터리,스릴러,액션",닐 버거,"브래들리 쿠퍼,애비 코니시,로버트 드니로",121538,870473000,3
5백만불의 사나이,2012-07-19,717733500,101692,한국,"(주)하리마오픽쳐스,(주)제이와이피엔터테인먼트,(주)바른손",씨제이이앤엠 주식회사,15세이상관람가,코미디,김익로,"박진영,조성하,민효린,조희봉,오정세,이병준,주광현,한유림",104736,739789500,3
다크 나이트 라이즈,2012-07-19,23520677000,3197994,미국,,워너브러더스코리아(주),15세이상관람가,"액션,범죄,스릴러",크리스토퍼 놀란,"크리스찬 베일,게리 올드만,앤 해서웨이,톰 하디,조셉 고든 레빗",6396615,47645513000,3
명탐정 코난: 11번째 스트라이커,2012-07-19,1593049500,247135,일본,,씨제이이앤엠 주식회사,12세이상관람가,애니메이션,"시즈노 코분,야마모토 야스이치로","김선혜,강수진,이정구,이현진",524914,3363777000,3
극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,2012-07-25,590543500,92216,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,"애니메이션,어드벤처",쿠스바 고조,,165640,1071505500,2
도둑들,2012-07-25,27671927500,3858088,한국,(주)케이퍼필름,쇼박스㈜미디어플렉스,15세이상관람가,"액션,범죄",최동훈,"김윤석,김혜수,이정재,전지현,임달화,김해숙,오달수,김수현,이신제,증국상,서영주,장동,장현문,정윤헌,조상원,한규석",12983330,93665568500,3
무서운 이야기,2012-07-25,1398594566,190522,한국,"(주)수필름,(주)데이지엔터테인먼트",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,공포(호러),"정범식,임대웅,홍지영,김선,민규동","김현수,노강민,진태현,최윤영,남보라,정은채,배수빈,나영희,임성민,김지영,김예원,조한철,유연석,김지원,이한상,정미남",331760,2452368566,1
아이스 에이지 4: 대륙 이동설,2012-07-25,5315003704,693706,미국,,이십세기폭스코리아(주),전체관람가,"애니메이션,어드벤처,코미디,가족","스티브 마티노,마이크 트메이어","존 레귀자모,레이 로마노,데니스 레리,퀸 라티프,제니퍼 로페즈",1648110,12291969704,2
새미의 어드벤쳐 2,2012-08-01,5213902500,665397,벨기에,,씨제이이앤엠 주식회사,전체관람가,"애니메이션,어드벤처",벤 스타센,"아이유,이기광,김원효",1457406,10856334000,2
나는 왕이로소이다,2012-08-08,4045285404,587637,한국,(주)데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,코미디",장규성,"주지훈,백윤식,변희봉,박영규,임원희,이하늬,백도빈,김수로,김소현,전지혜,정지현,조대희,최대원,김상용,한여울",790181,5455343404,3
빌리와 용감한 녀석들 3D,2012-08-08,1003245000,150773,독일,,(주)에스비에스콘텐츠허브,전체관람가,"애니메이션,가족","라인하드 클루스,호거 태프",,299691,1962190500,2
R2B: 리턴투베이스,2012-08-15,5935504371,822430,한국,"(주)주머니필름,(주)빨간마후라,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,"액션,드라마",김동원,"정지훈,유준상,신세경,김성수,이하나,이종석,정경호,조성하,오달수,정석원,임태열,정호빈,김성철",1201944,8602921371,3
스텝업4 : 레볼루션,2012-08-15,3437110500,447603,미국,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,스콧 스피어,"라이언 구즈만,캐서린 맥코믹",953871,7157894000,3
토탈 리콜,2012-08-15,6523744500,879348,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,15세이상관람가,"SF,액션",렌 와이즈먼,"콜린 파렐,케이트 베킨세일,제시카 비엘",1219637,8958236000,3
이웃사람,2012-08-22,9623525455,1297524,한국,"영화사 무쇠팔,플로우식스(주),자이온이엔티(주),(주)누리픽쳐스,히트박스",롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,스릴러,김휘,"김윤진,마동석,천호진,김성균,김새론,임하룡,장영남,도지한,차현우,김동현,한재훈",2434269,18088462369,1
공모자들,2012-08-29,6634737000,893586,한국,(주)영화사채움,"씨너스엔터테인먼트(주),타임스토리그룹(주)",청소년관람불가,"범죄,스릴러",김홍선,"임창정,최다니엘,오달수,조윤희,조달환,정지윤,최일화,박일목,임향주,권태호,최은용,최지향",1646142,12240964500,1
링컨: 뱀파이어 헌터,2012-08-30,2375855000,295854,미국,,이십세기폭스코리아(주),청소년관람불가,"액션,스릴러,공포(호러)",티무르 베크맘베토브,"벤자민 워커,도미닉 쿠퍼,루퍼스 스웰,메리 엘리자베스 윈스테드",345175,2753130000,1
본 레거시,2012-09-06,5512519500,754761,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,"액션,스릴러",토니 길로이,"제레미 레너,레이첼 웨이즈,에드워드 노튼,조안 알렌,알버트 피니",1015832,7412838000,3
익스펜더블 2,2012-09-06,2554389228,353507,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"액션,어드벤처",사이먼 웨스트,"실베스터 스탤론,브루스 윌리스,아놀드 슈왈제네거,제이슨 스타뎀,이연걸,장 끌로드 반담,척 노리스,리암 헴스워스,돌프 룬드그렌,테리 크루즈",444434,3208867228,3
피에타,2012-09-06,1224008000,171524,한국,김기덕 필름,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,드라마,김기덕,"조민수,이정진,권세인,강승헌,김순모",603283,4355592500,1
"광해, 왕이 된 남자",2012-09-13,13480586000,1854694,한국,"리얼라이즈픽쳐스(주),씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,"사극,드라마",추창민,"이병헌,류승룡,한효주,장광,김인권,심은경,김명곤,서진원,장재현,정창국,조혜정,김남준",12323291,88907726769,3
늑대아이,2012-09-13,709434761,104852,일본,,(주)미디어데이,전체관람가,"애니메이션,판타지,멜로/로맨스,드라마,어드벤처",호소다 마모루,"미야자키 아오이,오오사와 타카오",337729,2322956761,2
레지던트 이블 5 : 최후의 심판,2012-09-13,3369377500,383555,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,"액션,공포(호러),SF,스릴러",폴 W.S. 앤더슨,"밀라 요보비치,미셸 로드리게즈,리빙빙,시에나 길로리,오데드 페르",558433,4757460500,1
간첩,2012-09-20,3764608500,535576,한국,(주)영화사울림,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"드라마,코미디,액션",우민호,"김명민,박일목,유해진,염정아,변희봉,정겨운,장호준,정병두,조민호,최두선,박유영",1310895,9316548500,3
테드: 황금도시 파이티티를 찾아서,2012-09-20,763595000,106838,스페인,,(주)싸이더스에프앤에이치,전체관람가,애니메이션,엔리케 가토,"하동훈,보라",206320,1453568500,2
19곰 테드,2012-09-27,1204664674,157863,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"코미디,판타지",세스 맥파라인,"마크 월버그,밀라 쿠니스,세스 맥파라인",266574,2034959293,1
메리다와 마법의 숲,2012-09-27,5783126000,764174,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,애니메이션,"마크 앤드류스,브렌다 채프먼","켈리 맥도날드,빌리 코놀리,엠마 톰슨,강소라",1231024,9024766000,2
테이큰 2,2012-09-27,13475378553,1762375,프랑스,,이십세기폭스코리아(주),청소년관람불가,"액션,범죄,드라마",올리비에 메가톤,"리암 니슨,매기 그레이스,팜키 얀센,라드 세르베드지야",2308596,17581098553,1
점쟁이들,2012-10-03,4886005500,680764,한국,"㈜사람엔터테인먼트,(주)다세포클럽",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,공포(호러)",신정원,"김수로,강예원,이제훈,곽도원,김윤혜,양경모,임철형,임혁진,권성휘,장원욱,조인영,김남수,최상준,최정화,최홍선,박유영",953682,6731202500,3
루퍼,2012-10-11,2432229000,328593,미국,,(주)에스비에스콘텐츠허브,청소년관람불가,"SF,액션",라이언 존슨,"조셉 고든 레빗,브루스 윌리스,에밀리 블런트",571922,4265566000,1
위험한 관계,2012-10-11,1466890230,204345,중국,,씨제이이앤엠 주식회사,청소년관람불가,"멜로/로맨스,전쟁,드라마",허진호,"장동건,장쯔이,장백지",298086,2122666230,1
회사원,2012-10-11,5658098500,753905,한국,"영화사심미안(주),쇼박스㈜미디어플렉스,(주)51k",쇼박스㈜미디어플렉스,청소년관람불가,"액션,드라마",임상윤,"소지섭,이미연,곽도원,김동준,이경영,한보배,정종열,이학렬,임상윤,곽승원,김봉준",1110523,8321175000,1
용의자X,2012-10-18,6086727000,842433,한국,"(주)케이앤엔터테인먼트,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,미스터리,방은진,"류승범,이요원,조진웅",1552055,11241013000,3
강철대오:구국의 철가방,2012-10-25,1316459656,189710,한국,스페이스엠(주),롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,육상효,"김인권,유다인,조정석,박철민,이현학,임명현,임진택,임하나,김경재,김선혜,한국진",233211,1614867156,3
007 스카이폴,2012-10-26,9169413000,1235323,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,액션,샘 멘데스,"다니엘 크레이그,하비에르 바르뎀,주디 덴치,랄프 파인즈,나오미 해리스,베레니스 말로히",2376266,17487818000,3
늑대소년,2012-10-31,11656359500,1636321,한국,(주)영화사비단길,씨제이이앤엠 주식회사,15세이상관람가,"멜로/로맨스,드라마,판타지",조성희,"송중기,박보영,장영남,유연석,김향기,장서이,최광락,한민혁",6654842,46593140500,3
아르고,2012-10-31,709541500,98558,미국,,워너브러더스코리아(주),15세이상관람가,스릴러,벤 애플렉,"벤 애플렉,존 굿맨,알란 아킨,브라이언 크랜스튼,카일 챈들러",140736,1001059500,3
내가 살인범이다,2012-11-08,7790289500,1043970,한국,"(주)다세포클럽,쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,청소년관람불가,"액션,스릴러",정병길,"정재영,박시후,최원영,김영애,정건영,장규미,장금단,권귀덕,정용견,정진근,금경배,김경석,최신호,최은애,강봉성",2729830,20392542000,1
업사이드 다운,2012-11-08,1096202145,155458,캐나다,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"SF,판타지",후안 디에고 솔라나스,"커스틴 던스트,짐 스터게스,제인 하이트메이어",175349,1229283645,3
브레이킹 던 part2,2012-11-15,9939459500,1395256,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"드라마,판타지,멜로/로맨스",빌 콘돈,"크리스틴 스튜어트,로버트 패틴슨,테일러 로트너,다코타 패닝",2654817,18909583065,3
자칼이 온다,2012-11-15,1200241000,176382,한국,(주)노마드필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,배형준,"송지효,김재중,오달수,한상진,김성령",210278,1430079500,3
남영동1985,2012-11-22,1896951601,267756,한국,(주)아우라픽처스,"씨너스엔터테인먼트(주),(주)엣나인필름",15세이상관람가,드라마,정지영,"박원상,이경영,명계남,김의성,서동수,이천희,김중기,문성근,우희진,이창진,이후창,최필선",332619,2358629601,3
돈 크라이 마미,2012-11-22,4956355000,711856,한국,(주)씨네마골뱅이,(주)에스비에스콘텐츠허브,15세이상관람가,"스릴러,드라마",김용한,"유선,남보라,유오성,동호,권현상,이해신,전진희",975462,6808882099,3
26년,2012-11-29,8008612000,1108678,한국,영화사청어람(주),"(주)인벤트스톤,영화사청어람(주)",15세이상관람가,"액션,드라마",조근현,"진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오",2963652,21242367145,3
가디언즈,2012-11-29,3390822500,406173,미국,드림웍스 애니메이션,씨제이이앤엠 주식회사,전체관람가,"애니메이션,어드벤처",피터 램지,"크리스 파인,알렉 볼드윈,휴 잭맨,주드 로,아일라 피셔,다코타 고요,이제훈,류승룡,유해진,이종혁,한혜진",1075848,8213608000,2
음치 클리닉,2012-11-29,1690963000,252832,한국,㈜전망좋은 영화사,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"멜로/로맨스,코미디",김진영,"박하선,윤상현,박철민,이진호,정동철,정연식,김동현,한여울",338168,2248238000,3
나의 PS 파트너,2012-12-06,6004773116,801013,한국,나의PS파트너 문화산업전문회사,씨제이이앤엠 주식회사,청소년관람불가,"멜로/로맨스,코미디",변성현,"지성,김아중,신소율,강경준,김성오,정수영,문지윤,김보미",1831737,13896958616,1
늑대소년-확장판,2012-12-06,1767799500,252641,한국,(주)영화사비단길,씨제이이앤엠 주식회사,15세이상관람가,"멜로/로맨스,드라마,판타지",조성희,"송중기,박보영,장영남,유연석,김향기",414285,2869918500,3
극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전,2012-12-13,533498000,78018,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,타케모토 노보루,치바 유다이,110771,759092000,2
원 데이,2012-12-13,1029967000,142537,미국,,(주)팝파트너스,15세이상관람가,"드라마,멜로/로맨스",론 쉐르픽,"앤 해서웨이,짐 스터게스",203332,1496053000,3
호빗: 뜻밖의 여정,2012-12-13,12767937566,1529027,미국,,워너브러더스코리아(주),12세이상관람가,"어드벤처,판타지",피터 잭슨,"마틴 프리먼,이안 맥켈런,리차드 아미타지,케이트 블란쳇,크리스토퍼 리,일라이저 우드,앤디 서키스,휴고 위빙,베네딕 컴버배치",2818993,23436820716,3
가문의 영광5 - 가문의 귀환,2012-12-19,5486195500,766399,한국,(주)태원엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,정용기,"정준호,김민정,유동근,성동일,박근형,박상욱,윤두준,황광희,유민,손나은",1160021,8330342500,3
극장판 포켓몬스터 베스트위시「메로엣타의 반짝반짝 음악회」,2012-12-19,745857250,222436,일본,,,전체관람가,애니메이션,유야마 쿠니히코,,287975,963673250,2
극장판 포켓몬스터 베스트위시「큐레무 VS 성검사 케르디오」,2012-12-19,1026438250,265489,일본,,씨제이이앤엠 주식회사,전체관람가,애니메이션,유야마 쿠니히코,"마츠모토 리카,오타니 이쿠에,미야노 마모루",348991,1358313750,2
레미제라블,2012-12-19,14118415000,1929159,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,톰 후퍼,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터",5916675,43057935500,3
반창꼬,2012-12-19,7801228000,1082668,한국,(주)영화사오름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,멜로/로맨스,정기훈,"고수,한효주,마동석,김성오,쥬니,진서연,장원종",2475797,17911274787,3
주먹왕 랄프,2012-12-19,3099236500,425633,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,애니메이션,리치 무어,"존 C. 레일리,잭 맥브레이어,제인 린치",918299,6590479500,2
니코: 산타비행단의 모험,2012-12-25,1676033500,243062,핀란드,,씨너스엔터테인먼트(주),전체관람가,"애니메이션,어드벤처,가족","캐리 주스넌,요르겐 레르담","카리 히타라티,카리 케토넨,엘레나 크니틸라,주원,김원효,나르샤",407448,2787570000,2
잠베지아: 신비한 나무섬의 비밀,2012-12-25,1754592000,240603,남아프리카공화국,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,웨인 쏜리,"사무엘 L. 잭슨,애비게일 브레슬린,제프 골드블럼,짐 커밍스,유준상,하동훈,노홍철",472692,3333947000,2
타워,2012-12-25,14658256500,2014589,한국,"씨제이이앤엠 주식회사,(주)더타워픽쳐스",씨제이이앤엠 주식회사,12세이상관람가,드라마,김지훈,"설경구,손예진,김상경,김인권,도지한,안성기,이한위,김성오,송재호,차인표,박철민,조민아,권현상,박정학",5181014,37654858000,3
라이프 오브 파이,2013-01-01,6098936500,654265,미국,,이십세기폭스코리아(주),전체관람가,"어드벤처,드라마",이안,"수라즈 샤르마,이르판 칸,라프 스팰,라프 스팰",1593463,15870581500,2
마이 리틀 히어로,2013-01-09,1040655128,147585,한국,굿초이스컷픽쳐스(주),씨제이이앤엠 주식회사,전체관람가,드라마,김성훈,"김래원,지대한,이성민,조안,이광수",185978,1302907128,2
박수건달,2013-01-09,9728491500,1328287,한국,"주식회사 제이앤피,박수건달문화산업전문(유),쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,15세이상관람가,코미디,조진규,"박신양,김정태,엄지원,정혜영,김성균,최일화,최지호,김형범,장원종",3897969,28379548569,3
클라우드 아틀라스,2013-01-09,2607373128,345990,미국,,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,"SF,판타지","앤디 워쇼스키,라나 워쇼스키,톰 튀크베어","톰 행크스,할리 베리,휴 그랜트,배두나,짐 스터게스,벤 위쇼,휴고 위빙,수잔 서랜든",452995,3413901727,1
